"","Symbol","Min","Max","Average","Standard_Deviation","Covariance"
"140","BAFNAPHARM",22.45,50.75,29.5311111111111,3.88605700502885,15.0694381466487
"141","BAGFILMS",3.35,8.9,4.7169696969697,0.848882874551842,0.716546159980371
"142","BAJAJ-AUTO",2201.2,3369,2773.52676767677,259.317496895232,66817.9472951172
"143","BAJAJCORP",348.05,499.7,396.6476861167,28.3144549043472,781.793468512689
"144","BAJAJELEC",157.2,497.7,284.998787878788,78.5413070395652,6141.83986740891
"145","BAJAJFINSV",1600.35,5733.3,3449.28,1267.97263718417,1608117.0755
"146","BAJAJHIND",12.95,22.95,16.3145454545455,2.26146663059844,5.01433060360692
"147","BAJAJHLDNG",1349.15,2977.4,2047.76080808081,474.348036195646,224205.342708952
"148","BAJFINANCE",765.4,11393.3,3489.03363636364,3120.63846919504,9721848.0096947
"149","BALAJITELE",75.4,190,116.232828282828,28.723699606947,821.715030466609
"150","BALAMINES",123.15,663.8,320.758484848485,116.882949766338,13640.0297025825
"151","BALKRISHNA",67.85,120.45,79.7954268292683,8.42767904758993,63.4906548351607
"152","BALKRISIND",553.25,2509,1174.86636363636,471.281916750023,220966.756404214
"153","BALLARPUR",11.8,22.4,15.7242424242424,2.18701731096017,4.69122684333211
"154","BALMLAWRIE",208,1127.8,443.554949494949,233.978013108423,54753.0765678956
"155","BALPHARMA",80.1,159.2,97.6132323232323,9.4878156285513,85.2130111233795
"156","BALRAMCHIN",71.9,178.95,132.483838383838,27.0340438285288,730.761771766245
"157","BANARBEADS",36.5,94.95,55.7035641547862,13.6237642212639,181.489349858681
"158","BANARISUG",1015,2573.6,1886.44787878788,334.200618917384,111342.993758435
"159","BANCOINDIA",92.3,263.75,190.310404040404,43.7795892749508,1912.7625988938
"160","BANG",12,50.7,30.272049689441,10.882931616152,118.158472397619
"161","BANKBARODA",113.7,195.75,157.429494949495,15.2046963881075,225.530861049769
"162","BANKBEES",1369.91,2627.63,2055.63519191919,344.237199736611,118359.89370422
"163","BANKINDIA",80.45,207.85,127.148787878788,30.6847493827412,936.978539719053
"164","BANSWRAS",84.2,240.1,145.667171717172,30.1444165354038,901.34385673537
"165","BARTRONICS",8.5,24.05,14.0923232323232,3.17077712676515,9.94103617143091
"166","BASF",715.1,2251.5,1252.32060606061,331.051917231219,108971.156714391
